mutant,equivalent
ccx,cp
ccx,crx
ccx,cry
ccx,crz
ccx,cswap
ccx,cu1
ccx,r
ccx,rxx
ccx,ryy
ccx,rzx
ccx,rzz
ccx,u2
ch,csx
ch,cx
ch,cy
ch,cz
ch,dcx
ch,iswap
ch,ms
ch,p
ch,rx
ch,ry
ch,rz
ch,swap
ch,u1
cp,crx
cp,cry
cp,crz
cp,cswap
cp,cu1
cp,r
cp,rxx
cp,ryy
cp,rzx
cp,rzz
cp,u2
crx,cry
crx,crz
crx,cswap
crx,cu1
crx,r
crx,rxx
crx,ryy
crx,rzx
crx,rzz
crx,u2
cry,crz
cry,cswap
cry,cu1
cry,r
cry,rxx
cry,ryy
cry,rzx
cry,rzz
cry,u2
crz,cswap
crz,cu1
crz,r
crz,rxx
crz,ryy
crz,rzx
crz,rzz
crz,u2
cswap,cu1
cswap,r
cswap,rxx
cswap,ryy
cswap,rzx
cswap,rzz
cswap,u2
csx,cx
csx,cy
csx,cz
csx,dcx
csx,iswap
csx,ms
csx,p
csx,rx
csx,ry
csx,rz
csx,swap
csx,u1
cu1,r
cu1,rxx
cu1,ryy
cu1,rzx
cu1,rzz
cu1,u2
cx,cy
cx,cz
cx,dcx
cx,iswap
cx,ms
cx,p
cx,rx
cx,ry
cx,rz
cx,swap
cx,u1
cy,cz
cy,dcx
cy,iswap
cy,ms
cy,p
cy,rx
cy,ry
cy,rz
cy,swap
cy,u1
cz,dcx
cz,iswap
cz,ms
cz,p
cz,rx
cz,ry
cz,rz
cz,swap
cz,u1
dcx,iswap
dcx,ms
dcx,p
dcx,rx
dcx,ry
dcx,rz
dcx,swap
dcx,u1
h,i
h,id
h,s
h,sdg
h,sx
h,t
h,tdg
h,x
h,y
h,z
i,id
i,s
i,sdg
i,sx
i,t
i,tdg
i,x
i,y
i,z
id,s
id,sdg
id,sx
id,t
id,tdg
id,x
id,y
id,z
iswap,ms
iswap,p
iswap,rx
iswap,ry
iswap,rz
iswap,swap
iswap,u1
ms,p
ms,rx
ms,ry
ms,rz
ms,swap
ms,u1
p,rx
p,ry
p,rz
p,swap
p,u1
r,rxx
r,ryy
r,rzx
r,rzz
r,u2
rx,ry
rx,rz
rx,swap
rx,u1
rxx,ryy
rxx,rzx
rxx,rzz
rxx,u2
ry,rz
ry,swap
ry,u1
ryy,rzx
ryy,rzz
ryy,u2
rz,swap
rz,u1
rzx,rzz
rzx,u2
rzz,u2
s,sdg
s,sx
s,t
s,tdg
s,x
s,y
s,z
sdg,sx
sdg,t
sdg,tdg
sdg,x
sdg,y
sdg,z
swap,u1
sx,t
sx,tdg
sx,x
sx,y
sx,z
t,tdg
t,x
t,y
t,z
tdg,x
tdg,y
tdg,z
u,u3
x,y
x,z
y,z
